1.
2	{[STOP][文件无法打开]"^0"是应用程序不支持的文件格式。[OK]}
1232	{此计算机已获得长期离线授权。\r如果您不需要此功能，可以移除授权以使其可用于其他计算机。}
1233	{添加长期授权}
1234	{移除长期授权}
1235	{要为计算机授权离线运行 ^0（无需互联网连接），请重新启动 ^0 并登录一次。}

1249	{P^0: ^1}

1250	{^0 ^1+^2}
1251	{^0 ^1+^2 ^3}
1252	{^0 ^1+^2}
1253	{^0+^1 ^2}
1254	{^0+^1}
1255	{^0 ^1}
1256	{^0}
1257	{}

1312	{添加设备}
1313	{添加新设备}
1314	{翻转机架 (Tab)}
1315	{隐藏电缆}
1316	{浏览乐器}
1317	{浏览乐器文件夹}
1318	{添加其他设备}
1319	{添加其他设备}
1320	{双击添加乐器}
1321	{浏览效果器}
1322	{浏览效果器文件夹}
1323	{双击添加效果器}

2092	{重置所有主控部分设置}
2093	{清除插入效果器}

2100	{复制通道设置}
2101	{粘贴通道设置}
2102	{粘贴通道设置: EQ}
2103	{粘贴通道设置: 插入效果器}
2104	{粘贴通道设置: 动态}
2105	{粘贴通道设置: 发送}
2106	{粘贴通道设置: 全部}

2110	{重置所有通道设置}

2120	{全部取消独奏}
2121	{全部取消静音}

2150	{剪切通道和轨道}
2151	{复制通道和轨道}
2152	{粘贴通道和轨道}
2153	{删除通道和轨道}
2154	{复制通道和轨道}
2155	{选择所有通道}

2202	{选择上一个插入效果器音色}
2203	{选择下一个插入效果器音色}
2204	{浏览插入效果器音色}
2205	{保存插入效果器音色}

2301	{附加主混音器}
2302	{分离主混音器}
2311	{附加机架窗口}
2312	{分离机架窗口}

2316	{^0 混音 ^1}
2317	{^0 替代 ^1}
2318	{^0 弹跳 ^1}

2321	{^0 (混音器)}
2322	{^0 (机架)}

2323	{^0 [Read-only]}

2341	{显示输入部分}
2342	{隐藏输入部分}
2343	{显示EQ部分}
2344	{隐藏EQ部分}
2345	{显示插入部分}
2346	{隐藏插入部分}
2347	{显示动态部分}
2348	{隐藏动态部分}
2349	{显示效果器发送部分}
2350	{隐藏效果器发送部分}
2351	{显示推子部分}
2352	{隐藏推子部分}

2353	{显示/隐藏}

2360	{显示设备面板 (F3)}
2361	{打开浏览器 (F9)}
2362-Win	{显示混音器 (F5)。Ctrl-点击以分离。}
2362-Mac	{显示混音器 (F5)。Command-点击以分离。}
2363-Win	{显示机架 (F6)。Ctrl-点击以分离。}
2363-Mac	{显示机架 (F6)。Command-点击以分离。}
2364	{显示音序器 (F7)}

2390	{取消}
2391	{正在复制音频数据… ^0 / ^1}
2392	{粘贴}
2394	{另存为}
2395	{复制模板文档}
2396	{保存并优化}
2397	{正在复制歌曲文档内容}
2398	{正在复制剪贴板内容}

2400	{选定的暂存盘文件夹不可用。^0 将使用默认暂存盘进行此会话。}
2401	{选择 ^0 暂存盘文件夹}
2402	{您需要重新启动程序以使更改生效。}
2403	{默认}

2451	{用户名和密码不匹配。请重试。}
2452	{等待连接}
2453	{正在连接…}
2454	{授权缺失}

2460	{正在与Reason Studios授权服务器通信。}

2470	{欢迎使用 ^0}
2471	{用户名或电子邮件}
2472	{密码}
2473	{登录以使用您的Reason Studios账户进行授权。需要互联网连接。}
2475	{登录}
2476	{以演示模式运行}
2477	{忘记密码？}

2490	{取消}
2492	{退出}

2502	{https://account.reasonstudios.com/}

2530	{更改拉伸类型}
2531	{更改拉伸启用}
2532	{更改新录音的拉伸类型}

2570	{正在删除孤立音频数据: 剩余 ^0 流}
2571	{正在删除孤立音频数据: 剩余 ^0 流}
2572	{正在修复 ^0}
2573	{正在关闭 ^0}
2574	{正在保存 ^0}
2575	{已恢复的音频}
2576	{已恢复的音频}
2577	{音频 ^0 (已恢复)}
2578	{暂存盘文件夹已满 – 无法写入拉伸数据。请清理磁盘或更改暂存盘文件夹设置。}
2579	{暂存盘读写错误 – 请检查暂存盘文件夹设置并重新启动 ^0。}

2580	{下载更多演示歌曲…}
2581	{https://www.reasonstudios.com/download/reason/demo-songs}
2582	{https://www.reasonstudios.com/download/reason/template-songs}

2590	{效果器 ^0 (^1)}
2591	{效果器 ^0}
2592	{效果器 ^0 (未连接)}
2593	{^0-^1}
2594	{渲染 ^0}
2595	{渲染 ^0-^1}
2596	{选择输出文件夹}
2597	{正在标准化}
2598	{渲染混音器通道}

2600	{将剪辑渲染为音频文件}
2601	{正在等待 ^0 录音预计算到目标设置…}

2610	{^0 (已导入)}
2611	{正在导入音频}
2612	{停止}
2613	{正在导入音频文件“^0”…}
2614	{正在导入REX文件“^0”…}
2615	{正在导入REX文件“^0”。剩余 ^1 切片待导入…}
2616	{正在等待预计算完成…}

2625	{更改设备/轨道颜色}
2626	{通道颜色}

2630	{设置远程基础通道}
2631	{创建发送效果器…}

2640	{^0 (复制)}

2650	{正在恢复文件到桌面}
2651	{停止}
2652	{正在恢复文件“^0”到桌面}
2653	{已恢复 ^0-^1^2}
2654	{包含孤立音频的空歌曲，打开以恢复录音}

2860	{隐藏录音电平表}
2861	{显示录音电平表}
2862	{录音电平表}
2863	{无可用音频输入！}
2864	{未选择录音音频输入}
2865	{--}
2866	{^0/左}
2867	{^0/右}
2868	{上一个音频轨道}
2869	{下一个音频轨道}
2870	{显示/隐藏调音器}

2991	{启用}
2992	{启用}
2993	{启用}

3000	{弯音}
3001	{弯音}
3002	{弯音}
3005	{调制轮}
3006	{调制轮}
3007	{调制}
3010	{延音踏板}
3011	{延音}
3012	{延音}
3015	{表情}
3016	{表情}
3017	{表情}
3020	{呼吸控制}
3021	{呼吸控制}
3022	{呼吸}
3025	{触后}
3026	{触后}
3027	{触后}
3050	{^0 (^1)}
3051	{表演}

3080	{^0 ^1}
3082	{在Companion中查看缺失的机架扩展}

3100	{音频输入 ^0}
3101	{MIDI输入 ^0}
3102	{CV输入 ^0}
3103	{音频输出 ^0}
3104	{MIDI输出 ^0}
3105	{CV输出 ^0}

3112	{+}

3113	{https://www.reasonstudios.com/shop}
3114	{https://www.reasonstudios.com/shop/reason650/rack-extension/page/^0}

3150	{显示频谱EQ窗口}
3151	{隐藏频谱EQ窗口}
3155	{低频EQ}
3156	{高频EQ}
3157	{低通滤波器}
3158	{高通滤波器}
3159	{中低频EQ}
3160	{中高频EQ}
3162	{重置低频EQ点}
3163	{重置高频EQ点}
3164	{重置低通滤波器EQ点}
3165	{重置高通滤波器EQ点}
3166	{重置中低频EQ点}
3167	{重置中高频EQ点}
3168	{低通滤波器开启/关闭}
3169	{高通滤波器开启/关闭}
3170	{EQ开启/关闭}
3171	{E模式开启/关闭（参数EQ频段具有恒定带宽）}
3172	{高频钟形（半参数）模式开启/关闭}
3173	{低频钟形（半参数）模式开启/关闭}
3174	{显示频谱分析仪}
3175	{显示选定混音器通道的EQ/频谱}

3200	{正在分析}
3201	{正在等待音频分析完成…}
3202	{停止}

3220	{正在拆分剪辑}
3221	{正在选定切片或音符处拆分}
3222	{取消}

3223	{正在扫描 ^0 的内容}
3224	{停止}

3225	{主题: (需要重启)}
3226	{主题更改在重启Reason后生效。}
3227	{浅色}
3229	{深色}

3260	{检查更新...}
3261	{正在下载更新}

3270	{正在下载更新...}
3271	{准备安装更新！}
3272	{立即重启并安装}
3273	{退出时安装}
3274	{下载失败！}
3276	{隐藏}
3277	{有可用更新！(版本 ^0)}
3278	{更多信息}
3279	{下载}
3280	{暂不}
3281	{取消}
3282	{重试}
3283	{离线授权即将到期}

3290	{访问被拒绝。}
3291	{互联网连接失败。请重试或从Reason Studios网站下载。}
3292	{磁盘已满或其他写入错误。}
3293	{下载更新时出错。请重试或从Reason Studios网站下载。}

3294	{安装失败！}
3295	{安装更新时出错。请重试或从Reason Studios网站下载。}

3297	{发送到轨道}

3298	{延迟补偿开启/关闭}

3300	{管理插件}

3310	{制造商}
3311	{插件名称}
3312	{设备类型}
3313	{状态}
3314	{自动缩放}
3315	{插件类型}

3317	{VST2}
3318	{VST3}

3320	{效果器}
3321	{乐器}
3322	{工具}
3323	{VST外壳}
3324	{未知}

3330	{无法加载}
3331	{崩溃}
3332	{不支持}
3333	{启用}
3334	{禁用}
3335	{不支持}

3340	{路径}
3341	{VST ID}
3342	{Reason ID}
3343	{禁用}
3344	{启用}
3345	{全部启用}
3346	{自动缩放（跟随Windows显示缩放）。}

3350	{此插件是位于以下位置的插件的副本:\r^0}
3351	{此插件已启用并准备使用。}
3352	{此插件将在您重启 ^0 时加载。}
3353	{此插件已被手动禁用。\r如果您启用它，^0 将在下次重启时尝试加载它。}
3354	{此插件将在您重启 ^0 时禁用。}
3355	{此插件无法加载。\r如果您启用它，^0 将在下次重启时尝试再次加载它。}
3356	{此插件因崩溃或导致 ^0 挂起而被自动禁用。\r如果您启用它，^0 将在下次重启时尝试加载它。}
3357	{此插件格式不受支持。}
3358	{此插件没有音频输出。此类插件（MIDI效果器等）不受支持。}

3370	{选择插件文件夹}
3371	{选择要排除的文件夹}

3372	{云文件夹（添加前警告）：}
3373	{此列表包含可能使用云存储并按需同步到磁盘的文件夹（如Dropbox等）。我们建议在Reason中打开文件之前将文件同步到磁盘。如果您在浏览器中添加云文件夹作为快捷方式，您将收到有关此的警告。}
3374	{添加}
3375	{移除}

3380	{正在扫描插件}
3381	{跳过}

3390	{^0 音色库 (FXB)}
3391	{^0 程序 (FXP)}
3392	{^0 音色 (VST3预设)}

3400	{导出设备远程信息}

3520	{模式选择}
3521	{模式选择}
3522	{选择}

3530	{输入端口}
3531	{启用}

3560	{选择编辑轨道}
3561	{设置主键盘输入}

3570	{旁通所有播放器}
3571	{在直接录音模式下，录音将捕获播放器的输出。}
3572	{将播放器的输出写入轨道，位于左右定位器之间。}

3580	{设置}
3581	{打开时显示设备面板}
3583	{在新设备中加载默认声音}
3585	{显示参数值提示}
3586	{隐藏电缆功能：}
3587	{仅显示选定设备的电缆}
3588	{隐藏自动路由的电缆}
3589	{隐藏所有电缆}
3590	{鼠标旋钮范围：}
3591	{主题: (需要重启)}
3592	{使用主机缓冲区大小设置渲染音频}
3593	{(提高插件性能)}
3596    {机架扩展和内容}
3597	{您安装的机架扩展在Reason Companion应用程序中管理。\r要获取更多机架扩展和其他内容，请访问商店。}
3598	{我的产品}
3600	{前往商店}
3601	{您的机架扩展在Companion应用程序中管理。\r要获取更多机架扩展和其他内容，请访问商店。}
3603	{音频}
3604	{在线帮助}
3605	{下载手册}
3606	{关于}
3607	{https://www.reasonstudios.com/support/user/reason/general-reason/reason-documentation-and-help-files/}
3608	{关闭}
3609	{用户界面}
3610	{浏览}

3620	{缩放}
3621	{退出时注销}
3622	{Reason Rack Plugin设置为自动登录到此账户。\r如果无法连接互联网，Reason Rack Plugin将离线运行。\r\r要更改此设置，请点击下面的“退出时注销”。下次启动Reason Rack Plugin时，您将被要求重新登录。注销还将禁用离线使用。}
3623	{Reason Rack Plugin设置为在启动时要求登录。\r要使Reason Rack Plugin自动登录，请在下次登录时打开“记住我”。这也将允许您离线运行Reason Rack Plugin（无需互联网连接）。}

3700	{剪切设备}
3701	{复制设备}
3702	{粘贴设备}
3703	{删除设备}
3704	{复制设备}

3723	{Reason Rack Plugin正在使用互联网授权运行。\r您已登录为 ^0。\r \rReason Rack Plugin设置为自动登录到此账户。\r要更改此设置，请按下下面的“移除存储的密码”按钮。\r下次启动Reason Rack Plugin时，您将被要求重新登录。\r\r}
3724	{Reason Rack Plugin正在使用互联网授权运行。\r您已登录为 ^0。\r \rReason Rack Plugin设置为在启动时要求登录。\r要使Reason Rack Plugin自动登录，请在下次登录时打开“记住我的密码”。\r\r}
3728	{Reason Rack Plugin未授权。请重新启动您的DAW主机以登录。\r\r}

3740    {正在下载许可证数据}
3742    {请等待更新的许可证数据下载完成。}
3743    {取消}

3750	{打开Reason Companion}
3751	{启动时打开Reason Companion}
3752	{https://reasonstudios.com/download-reason-companion}

3754    {^0%}

3760    {默认}

3770-Mac	{退出并注销 ^0}
3770-Win	{退出并注销 ^0}
3771-Mac	{退出}
3771-Win	{退出}

3775	{搜索结果}

3776	{缺失的声音}
3777	{显示}










24.
11	{注释 #^0}
15	{切片 #^0}
16	{力度}
17	{传输}
18	{隐藏}
19	{清除}
20	{力度/控制器轨道}
21	{清除选定的表演自动化}

99	{删除}
100	{删除切片}
101	{剪切片段}
102	{复制片段}
103	{删除片段}
104	{剪切片段}
105	{复制片段}
106	{删除片段}
107	{粘贴片段}
108	{剪切音符}
109	{复制音符}
110	{删除音符}
111	{剪切音符}
112	{复制音符}
113	{删除音符}
114 {粘贴音符}
115	{剪切事件}
116	{复制事件}
117	{删除事件}
118	{粘贴事件}

120	{歌曲}
121	{区块}

122	{复制片段}
123	{复制音符}
124	{复制事件}
125	{复制片段}
126	{复制音符}
127	{复制事件}
128	{复制合成行}

130	{切换到歌曲视图 (B)}
131	{切换到区块视图 (B)}

132	{剪切剪切}
133	{复制剪切}
134	{删除剪切}
135	{剪切剪切}
136	{复制剪切}
137	{删除剪切}
138	{剪切合成行}
139	{复制合成行}
140	{删除合成行}
141	{剪切合成行}
142	{复制合成行}
143	{删除合成行}

152	{对齐到网格 (S)}
153	{对齐}

160	{音符编辑视图模式}
161	{显示力度或表演自动化}
163	{选择工具 (Q)}
164	{铅笔工具 (W)}
165	{量化}
167	{擦除工具 (E)}
169	{放大工具 (Y)}
170	{手形工具 (U)}
171	{切割工具 (R)}
172	{静音工具 (T)}
173	{放大}
174	{缩小}

179	{缩小波形}
180	{缩放到正常波形范围}
181	{放大波形}

182	{减小轨道高度}
183	{增加轨道高度}
184	{缩放到选择 (Z)}
185	{跟随歌曲 (F)}

187	{删除空的表演自动化}

189	{其他…}

190	{退出编辑模式}
191	{切换到歌曲视图}

200	{模式选择}

213	{—}
214	{自动化}

215	{手动录制}

300	{复制事件}
301	{移动事件}
304	{绘制事件}
305	{曲线事件线}
306	{调整音符大小}
308	{重新排序轨道}
309	{设置全局随机}
311	{剪切}
312	{删除}
313	{在定位器之间插入小节}
314	{在定位器之间删除小节}
315	{将模式自动化转换为音符}
316	{将区块片段转换为歌曲片段}
317	{将区块轨道转换为歌曲片段}

318	{在切片处拆分}
319	{更改自动化值}
320	{粘贴事件}
321	{量化}
323	{移调音符}
324	{更改力度}
325	{修改音符}
326	{缩放力度}

327	{绘制片段}
328	{创建自动化轨道}
329	{删除自动化轨道}
330	{删除轨道}
331	{创建音符轨道}
332	{移动音符轨道}
333	{复制音符轨道}
334	{删除音符轨道}
335	{移动片段}
336	{移动片段}
337	{复制片段}
338	{复制片段}
339	{创建模式轨道}
340	{删除模式轨道}
341	{删除空的自动化轨道}
342	{更改自动化参数}
343	{调整片段大小}
344	{重命名音符轨道}
345	{更改 ^0 静态值}
346	{静音音符轨道}
347	{取消静音音符轨道}
348	{启用模式轨道}
349	{禁用模式轨道}
350	{启用自动化轨道}
351	{禁用自动化轨道}
352	{更改颜色}

353	{剪切轨道和设备}
354	{复制轨道和设备}
355	{粘贴轨道和设备}
356	{删除轨道和设备}

357	{粘贴片段}

358	{剪切轨道和设备}
359	{复制轨道和设备}
361	{删除轨道和设备}

360	{轨道 ^0}

362	{点击开/关}
363	{点击级别}
364	{力度 BPM}
365	{力度 BPM 增加}
366	{力度 BPM 减少}
367	{力度小数}
368	{播放}
369	{停止}
370	{倒带}
371	{快进}
372	{录制}
374	{小节位置}
375	{小节位置增加}
376	{小节位置减少}
377	{节拍位置}
378	{16分音符位置}
379	{循环开/关}
380	{左循环小节}
381	{左循环节拍}
382	{左循环16分音符}
383	{右循环小节}
384	{右循环节拍}
385	{右循环16分音符}
387	{重置自动化覆盖}
388	{音序器}
389	{滴答位置}
390	{左循环滴答}
391	{右循环滴答}
392	{自动化清理}
393	{新叠加}
394	{新叠加}
395	{新替代录制}
396	{新替代录制}
397	{静音片段}
398	{切割片段}
1227	{切割音符}
399	{启用音符轨道录制}
400	{禁用音符轨道录制}
402	{静音音符}
403	{取消静音音符}
405	{取消静音片段}
406	{取消静音片段}
407	{合并片段}
408	{合并轨道上的音符轨道}
413	{删除空的表演自动化轨道}
414	{更改表演自动化参数}
415 {更改音符长度}
416	{更改时间签名}
417	{更改模式选择}
418	{应用连奏}
419	{随机化音高}
420	{删除片段外的事件}
421	{提交到律动}
422	{更改区块选择}
430	{更改模式偏移}
431	{更改区块偏移}
440	{禁用区块自动化}
441	{启用区块自动化}
443	{交叉淡化}
445	{移除交叉淡化}
446	{在歌曲位置拆分片段}
447	{切碎片段}
448	{切碎音符}
500	{转到左定位器}
501	{转到右定位器}
502	{预计数开/关}
503	{小时位置}
504	{分钟位置}
505	{秒位置}
506	{秒位置增加}
507	{秒位置减少}
508	{毫秒位置}
509	{将自动化录制为表演控制器}
510	{自动量化}

511	{点击开/关 (C)}
512-Mac	{预计数开/关 (Command-P)}
512-Win	{预计数开/关 (Ctrl-P)}
513	{力度}
514	{时间签名}
515	{播放 (空格)}
516	{停止 (Shift-Return)}
517	{倒带}
518	{快进}
519-Mac	{录制 (Command-Return)}
519-Win	{录制 (Ctrl-Return)}
520	{新叠加 (,)}
521	{新替代录制 (.)}
525	{歌曲位置}
526-Mac	{位置信息包含小数点以下的节拍信息（子节拍）。按住[Command]键点击可以清除子节拍。}
526-Win	{位置信息包含小数点以下的节拍信息（子节拍）。按住[Ctrl]键点击可以清除子节拍。}
528	{时间位置}
529	{循环开/关 (L)}
530	{左定位器}
531	{右定位器}
532	{参数自动化覆盖}
533	{重置自动化覆盖}
534-Mac	{转到左定位器 (Option-左箭头)}
534-Win	{转到左定位器 (Alt-左箭头)}
535-Mac	{转到右定位器 (Option-右箭头)}
535-Win	{转到右定位器 (Alt-右箭头)}
536	{录制期间量化音符}
537	{DSP 工作量}
538	{音频输出削波指示器}
539	{音频输入削波指示器}
540	{音频输入表}
541	{音频输出表}
542	{屏幕钢琴键}

546	{清除子滴答}
547	{清除左循环子滴答}
548	{清除右循环子滴答}
549	{调整外来片段}
550	{调整外来片段}
551	{调整静态值}
552	{点击力度}
553	{点击力度}
554	{预计数小节}

556	{^0 (1)}
557	{^0 (2)}


560	{全部取消静音}
561	{全部取消独奏}
562	{新建音符轨道}
563	{静音轨道}
564	{独奏轨道}
565	{启用参数自动化录制}
566	{启用录制}
568	{静音音符轨道}
569	{删除音符轨道}
570	{音符轨道活动}
571	{删除自动化轨道}
572	{静音轨道自动化}
575	{创建模式轨道}
576	{轨道参数自动化}

577	{删除空的自动化}
579	{静音区块自动化}


589	{该轨道是外来的，没有效果，因为其自动化参数在目标设备中不存在。}
590	{静态值是外来的，没有效果，因为其范围或类型与参数轨道不匹配。\r要修复此问题，请点击静态值滑块。}
591	{该轨道是外来的，没有效果，因为其目标设备不支持音符轨道。}
592	{该轨道是外来的，没有效果，因为其自动化参数在目标设备中不存在。}
593	{该轨道是外来的，没有效果，因为其目标设备不支持模式轨道。}

594	{该音符片段是外来的，没有效果，因为它不在音符轨道上。}
595	{该自动化片段是外来的，没有效果，因为其范围或类型与自动化轨道不匹配。\r要修复此问题，请使用编辑菜单中的“调整外来片段到轨道”功能。}
597	{该自动化片段是外来的，没有效果，因为它不在自动化轨道上。}
598	{该模式片段是外来的，没有效果，因为它不在模式轨道上。}

600	{从选定的片段中移除标签}
601	{编辑片段标签}
602	{移除片段标签}

606	{静态值: ^0}

610	{弯音}
611	{调制轮}
612	{呼吸}
613	{通道压力}
614	{表情}
615	{延音踏板}

616	{将循环向左移动一个循环长度}
617	{将循环向右移动一个循环长度}
618	{将循环向左移动一个小节}
619	{将循环向右移动一个小节}

620	{目标轨道 (Delta)}
621	{目标上一个轨道}
622	{目标下一个轨道}
623	{为目标设备选择音色 (Delta)}
624	{为目标设备选择上一个音色}
625	{为目标设备选择下一个音色}
626	{撤销}
627	{重做}
628	{选择键盘快捷键变体 (Delta)}
629	{选择上一个键盘快捷键变体}
630	{选择下一个键盘快捷键变体}
631	{文档名称}
632	{目标轨道独奏}
633	{目标轨道静音}
634	{任何轨道独奏}
635	{任何轨道静音}
636	{返回零位}
637	{目标轨道启用自动化录制}

640	{选择上一个大表通道}
641	{选择下一个大表通道}

650	{创建模式轨道}

651	{模式启用从 ^0}

652	{提取音符到轨道}
653	{^0}
654	{^0–^1}

655	{滚动到连接的设备}

656	{将选定的音符移动到新轨道}
657	{将选定的音符复制到新轨道}
658	{复制}

701	{区块 ^0}
702	{歌曲}


705	{更改静音轨道}


843	{当程序无法从磁盘快速读取时亮起。}
844	{输入峰值表}
852	{当 Reason 未经授权运行时亮起。在此模式下，您可以保存但不能打开歌曲。}

899	{音频片段是外来的，没有效果，因为它不在音频轨道上。}
902	{启用录制}
903	{启用轨道监听}
904	{启用调音器}
905	{选择音频输入}
906	{点击重置片段指示器}
907	{手动录制模式（无自动录制启用）}

912	{目标轨道启用监听}
913	{目标轨道重置表削波}
914	{目标轨道启用调音器}

920	{--}
921	{ProBrouseBig 12 0 0 0 2}
922-Mac	{2}
922-Win	{1}

940	{静音}
950	{^0 (导入的)}
951	{(^0.^1.^2.^3)}
952	{(^0.^1.^2.^3.^4)}
953	{录制 ^0}
954	{^0 ^1}
955	{^0 ^1 ^2}
956	{^0 (渲染的)}
957	{^0 (标准化的)}
958	{^0 (反转的)}

998		{更改交叉淡化交叉点}
999		{更改音频片段移调}
1000	{更改音频片段淡入淡出长度}
1001	{更改音频片段电平}
1002	{设置单次录制模式}
1003	{关闭单次录制模式}
1004	{删除未使用的录制}
1005	{将片段渲染为新录制}
1006	{将片段渲染到磁盘…}

1009	{更改合成行移调}
1010	{重命名合成行}
1011	{重新排序合成行}
1012	{更改合成行电平}
1013	{更改合成行录制偏移}
1014	{复制合成行}
1015	{删除合成行}
1016	{粘贴合成行}
1017	{粘贴合成行和剪切}
1018	{粘贴剪切}

1019	{扬声器工具 (I)}
1020	{选择所有轨道}

1022	{合成行电平: ^0}

1023	{更改剪切位置}
1024	{更改剪切交叉淡化长度}

1025	{设置剪切分配}
1026	{设置默认合成行}

1027	{更改合成行和剪切位置}

1030	{删除合成行和剪切}
1031	{删除剪切}
1032	{添加剪切}

1033	{选择所有切片}
1034	{所有音符}
1035	{选择全部}
1036	{选择所有片段}
1037	{选择所有事件}
1038	{选择所有音符}

1040	{启用拉伸}
1041	{禁用拉伸}

1077	{将片段渲染为新录制}
1078	{渲染音频片段…}
1079	{取消}

1085	{渲染}
1090	{将片段渲染到磁盘}
1091	{渲染音频片段…}
1092	{取消}

1093	{将片段渲染为新样本}
1300	{原地渲染}

1094	{将片段渲染为新样本}
1095	{渲染音频片段…}
1096	{取消}

1097	{标准化}
1098	{标准化}
1099	{标准化…}
1100	{取消}

1101	{反转}
1102	{反转}
1103	{反转…}
1104	{取消}

1109	{拉伸和移调类型}
1111	{全能}
1112	{旋律}
1113	{人声}
1114	{新录制的拉伸类型}

1120	{MIDI: 发送所有音符关闭}

1130	{合并音符}

1200	{添加切片标记}
1201	{删除切片标记}

1202	{还原所有切片}

1203	{将片段渲染为 REX 循环}

1204	{还原所有音符}

1210	{将片段渲染为 REX 循环}
1211	{渲染音频片段…}
1212	{创建 REX 循环…}
1213	{取消}

1214	{移动切片标记}


1223	{单次录制模式}
1224	{渲染}

1228	{校正音高}
1229	{校正音高}


1235	{切片编辑}
1236	{人声编辑}
1237	{合成编辑}

1240	{将音频片段渲染为 MIDI}

1241	{准备音频片段以进入音高编辑模式}
1242	{准备音频片段以进入切片编辑模式}

1243	{重置为原始音高}
1244	{重置为原始音高}

1245	{对齐}
1246	{跳转}
1247	{精细}

1250	{在音符处拆分}
1251	{校正音高}
1252	{重置音高}

1260	{移调音符}
1261	{更改共振峰}
1262	{更改漂移}
1263	{更改过渡长度}
1264	{更改保留表情}
1265	{更改音符电平}

1266	{切割音符}
1268	{移动音符}

1281	{移调}
1282	{监听}

1290	{链接: ^0}
1291	{发送 MIDI 时钟。在 MIDI 时钟同步中不可用。}

1295	{总信号路径延迟: ^0 采样 (^1 毫秒)}


1301	{^0 (^1)}
1302	{^0 (1/^1)}

1310	{添加轨道}
1311	{添加新轨道}

1320	{多轨道编辑}
1321	{显示所有选定和未静音的轨道的音符}

1322	{未选择乐器轨道或音频轨道。}

1323	{修改音符}
1324	{音符提取}
1325	{音符长度}
1326	{移调音符}
1327	{音符力度}
1328	{量化设置}
1329	{随机化位置}
1330	{缩放力度}
1331	{时间签名}
1332	{时间签名}

1333	{单音符}
1334	{移动}
1335	{复制}
1336	{范围}
1337	{移动}
1338	{复制}
1339	{分离（将所有音符分离到不同的轨道）}
1340	{移动}
1341	{复制}
















25.
805	{搜索当前位置}
807 {在“^0”中搜索}
810 {搜索所有位置}
817 {清除}
819 {搜索}
806	{歌曲浏览器：(^0)}

812	{无法从ReFill加载项目(^0)}
813	{找不到文件“^0”}
814	{未找到项目}
815	{打开}
816 {关闭}
822 {取消}
825 {确定}
818	{^0 音色}
820	{^0 位}
821	{^0 kHz}
823	{此文件包含超过92个切片。某些Reason设备会将其截断为^0。}
824	{^0 (^1) BPM}
826	{^0/^1}
828	{^0.^1 小节}
830	{上级目录}
831	{名称}
832	{大小}
833	{^0 kB}
834	{^0 MB}
835	{^0 GB}
836	{^0分钟 ^1秒}
837	{^0分钟}
838	{^0秒}
839	{立体声}
840	{单声道}
841	{^0 声道}
843	{转到上级文件夹}
845-Mac	{种类}
845-Win	{类型}
849	{文档浏览列表}
850	{[WARN]您确定要删除所选项目吗？\r请注意，这只会从收藏列表中删除快捷方式 — 实际文件不受影响。[Cancel][Remove]}
851	{[WARN]您确定要删除所选项目吗？\r请注意，这只会从收藏列表中删除快捷方式 — 实际文件不受影响。[Cancel][Remove]}
852	{展示}
855	{^0 个项目已选择}
859	{[NOTE]文件太大，无法自动播放}
860	{格式错误}
861	{不支持的格式}
862	{文件已锁定}
863	{未找到文件}
864	{无法打开文件}
866	{该REX文件不包含任何活动切片。}
869	{此文件已损坏或格式未知。}
870	{此REX2文件是由比当前REX库支持的版本更高的ReCycle版本创建的。}
871	{无法使用此ReCycle文件，因为其小节和节拍设置尚未设置。}
872	{图片浏览器：(^0)}
876	{^0 BPM}
878	{^0/^1}

880	{SoundFont错误}
882	{无法访问文件}
883	{[WARN]您确定要删除选定的收藏列表及其中的项目吗？\r请注意，这不会删除硬盘上的任何实际文件。[Cancel][Remove]}
884	{[WARN]您确定要删除“^0”吗？\r请注意，这只会从列表中删除该项目 — 实际文件和文件夹不受影响。[Cancel][Remove]}

893	{试听音量}
896	{新建收藏列表}
898	{修改时间}
900	{[NOTE]固定位置无法删除[OK]}
902	{读取错误}
905	{名为“^0”的ReFill已在“^1”中找到。要使用所选版本的ReFill，请删除其他版本并重新启动^2。}
909	{^0–^1 bpm}
912	{, }

918	{在收藏列表中}
919	{创建新收藏列表}
920 {添加到新收藏列表...}

922	{上一级文件夹}
923	{返回}
924	{前进}

925	{加载下一个}
926	{加载上一个}


940-Mac {在Finder中显示}
940-Win {在资源管理器中显示}
942 {导出元数据...}

950 {导出元数据}
951 {正在导出元数据}
952 {正在收集要导出的元数据...}
953 {正在导出元数据...}
954 {取消}
955 {[STOP][Export failed]无法为所选容器导出元数据。[OK]}


961 {搜索文本}

970 {导入}
971 {创建}
972 {加载}
973 {替换}
975 {编辑}
976 {自动}
977 {恢复}

979 {将^0恢复到^1}
980 {编辑样本}
981 {试听音频文件}
982 {切换自动试听}

983 {创建设备}
984 {打开文件夹}
985 {导入音频}
986 {替换设备}
987 {加载项目}


1042	{文件中没有速度数据}
